id,url,title,parkCode,description,category,lastIndexedDate
E426F4F2-1332-4352-8174-B15AD6448062,,"Smith Road Trailhead Parking Lot Temporary Partial Closure April 8 - June 30, 2024",goga,Northwest portion of the parking lot off of Bunker Road in Marin Headlands will be temporarily closed. Stay out of the closure and park in the other parking spaces.,Information,2024-04-22 12:44:51.0
CE95114A-4256-4632-BDD6-47E1D39E808D,https://www.nps.gov/crmo/planyourvisit/conditions.htm,Loop Road Closed to Foot and Wheeled Traffic Beyond Devils Orchard April 22 to April 26,crmo,The Loop Road is open to vehicles as far as Devils Orchard. The Loop Road and all trails beyond Devils Orchard are closed to all foot and wheeled traffic while road maintenance takes place.,Park Closure,2024-04-22 11:39:52.0
9EFFFC4E-9FDE-4CE2-91E3-80730EE016DF,,Naval Live Oaks Parking lot Resurfacing,guis,Areas of the Naval Live Oaks Parking lot will be closed for resurfacing and striping. No RVS can enter at this time. Please follow the flaggers instructions.,Caution,2024-04-22 11:00:41.0
D343DB17-FB31-4953-AC43-957033416C4B,https://www.nps.gov/grca/planyourvisit/grand-canyon-national-park-public-health-update.htm,"What's Closed and What's Open? (Park Operational Updates) Monday, April 22, 2024",grca,The Visitor Center is CLOSED between April 21 and May 4 for staff training. Visit the link for available visitor services/hours of operation. The North Rim of the park and SR 67 remain CLOSED to all vehicle traffic until May 15.,Park Closure,2024-04-22 08:40:01.0
CE24000C-4C4A-4A6E-8744-8F717A94EC6E,,Hurricane Ridge Road Status 4/21/24 11:10am,olym,Hurricane Ridge Road is open.,Park Closure,2024-04-21 14:12:27.0
EA720E00-3278-468F-9CE4-9157003DB861,https://www.nps.gov/bith/planyourvisit/conditions.htm,Bridge Closed over Village Creek,bith,The bridge over Village Creek that connects the Kirby Nature Trail to the Turkey Creek Trail is CLOSED due to flood damage. Both trails are open but hikers cannot hike from one to the other.,Park Closure,2024-04-21 14:08:33.0
E50BCBBF-80ED-4EC2-948F-36A0DF04AC21,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00283#homepage,William O'Brien State Park Boat Ramp Closed,sacn,"William O'Brien State Park boat ramp and day use area are closed until early 2025. For more information, contact William O'Brien State Park at 651-539-4980 or www.dnr.mn.us.",Information,2024-04-21 12:42:04.0
76F87208-2DB8-4FE7-A3DE-06A88035A7EE,https://www.nps.gov/thingstodo/tour-the-sandburg-home.htm,Sandburg Home Visitor Center/Park Store and Tours Open Wednesday to Sunday,carl,"The Sandburg Home Visitor Center/Park Store is open Wednesday to Sunday from 10am-4pm. Tours are available at 11am, 12pm, 1pm, 2pm, 3pm. Advance reservations via recreation.gov strongly recommended. Day-of visit, last minute tickets may not be available.",Information,2024-04-21 12:32:17.0
FB22FB25-F0C7-4BF4-AF5C-B4A57E689E6F,,Park Entrance Sign Closure,cavo,"Starting Monday, April 15, the park entrance sign will be closed due to construction. Please use caution as equipment and workers are nearby. The Visitor Center, Park Film, Museum, Boca and Lava Flow trails, and Bookstore will all be open.",Park Closure,2024-04-21 12:19:51.0
1F0386C8-924C-4E60-8ADA-2C99A58FB024,,Construction on Schuyler House Parking Lot and Path Starting 4/22,sara,Construction will be taking place on areas of the parking lot and paths at the Schuyler House starting the week of Aprill 22. Short-term closures or closures to limited areas are possible. Use caution and follow posted information.,Information,2024-04-21 12:09:43.0
2E6A0861-6D6A-4E66-ACF2-3FE3387F8EA8,,April 25- Exhibits and Buildings Closed until 1 pm,stea,"Due to staff training on Thursday, April 25, the Park gate and grounds will be open starting at 9:30 am but buildings and exhibits will be closed until 1 pm. The History Museum, Museum Store, and the Roundhouse will be open from 1pm-5pm.",Information,2024-04-21 11:01:16.0
6E768B8B-F37A-498E-A01C-624219935D50,https://www.nps.gov/prwi/learn/management/partial-park-closure-on-4-22-2024.htm,"Partial Park Closure of Prince William Forest Park on Monday, April 22, 2024",prwi,"On 4-22-2024, part of Prince William Forest Park will be closed to the public from 6:00am through around 3:30pm, including Pine Grove Picnic Area, Telegraph Picnic Area, William's Ballfield, Park Entrance Road, Visitor Center, Camp 3, and nearby trails.",Park Closure,2024-04-21 09:23:34.0
EFC0C727-C3BE-4BB4-BD5D-B0C0BEB8E566,,Stafford Beach cpgd and trails reopen after pescribed burn,cuis,The campground will be open 4/21/24 for scheduled campers. Trails in the area have opened today. Please avoid walking off trail into the interior of burn unit due to hot stump holes and fire-weakened trees that could fall.,Caution,2024-04-20 14:37:21.0
060BA2F2-8186-430C-830E-718706BD2C14,,Phones Temporarily Out Of Order At the Visitor Center,maca,Phones Temporarily Out Of Order At the Visitor Center,Park Closure,2024-04-20 12:30:33.0
431138D6-EEA1-4A00-8B21-42B83D873F39,,Road Closure near Jockey Hollow this weekend,morr,A portion of Route 202 between Bailey Hollow Road and Tempe WIck Road will be closed this weekend Those driving to Jockey Hollow via Route 202 South should find an alternate rout and enter the park via the Western Avenue entrance.,Information,2024-04-19 23:29:11.0
31D1E351-9430-4B79-8922-F387B11D9E82,https://www.nps.gov/fosc/learn/photosmultimedia/360tours.htm,Some Park Buildings are Temporarily Closed for Maintenance,fosc,"Some Park Buildings are temporarily closed to replace the Fire Suppression Systems. Closed: Dragoon Barracks, Post Headquarters, and Quartermaster Storehouse. Follow the link below for a virtual tour of buildings.",Park Closure,2024-04-19 19:26:13.0
4FF387C8-244F-4310-908B-914B18DBA3CD,,Atrisco Vista Boulevard and Volcanoes Day Use Area Closed May 3rd,petr,USA Cycling Colligate Road National Competitions will make Atrisco Visa Boulevard and Volcanoes Day Use Area inaccessible for most of May 3rd. Access to Volcanoes Day Use Area will be available from 12 pm to 12:30 pm and after 2:30 from Paseo del Norte.,Park Closure,2024-04-19 18:02:23.0
B8ECC0E8-43B4-4E34-90F6-18F9E7AE2120,https://www.nps.gov/cebr/learn/news/summer-services-resume-2024.htm,State Route 148 closed for the winter season,cebr,"Visitors can access the park via Highway 143 and the town of Brian Head. You can view Cedar Breaks from the Northview Overlook. State Route 143 will remain open, weather permitting. On April 22, the seasonal snowmobile trail will close.",Park Closure,2024-04-19 17:50:43.0
EBB40A2F-9A90-4B8C-B35A-3217733E5A8B,,Construction near Visitor Center,guco,"There are minor trail closures in effect near the Visitor Center. This is the first phase of a major trail rehabilitation project in the park. Call ahead for more information, (336) 288-1776.",Information,2024-04-19 15:28:33.0
F9AC6955-9CCA-49D5-B6FA-E5DE14D363FF,https://www.nps.gov/oxhi/learn/management/oxon-cove-hiker-biker-trail-closure.htm,Oxon Cove Trail Closed,oxhi,"The Oxon Cove Trail will be closed from April 22nd, 2-24 through September 3rd, 2024.",Park Closure,2024-04-19 13:30:53.0
436C6B65-B6B0-4F6B-AF8C-6F4F677BD40F,https://www.nps.gov/sacn/learn/news/2024-04-11-prescribedfires.htm,National Park Service to Conduct Prescribed Fires,sacn,"NPS plans to start conducting prescribed fires this weekend throughout the park. To ensure safety, please watch for signs and follow staff instructions.",Caution,2024-04-19 12:46:24.0
C275D180-3CDE-4FF8-AD95-3D03DCF13952,https://www.facebook.com/photo/?fbid=825877766235998&set=a.225670012923446,Turkey Hunting Active: 4/15 - 5/5/2024,ozar,"The spring turkey firearm season is now active in Ozark National Scenic Riverways. Hunters are reminded to follow all state/park regulations, and other visitors should wear bright clothes if hiking in remote areas.",Caution,2024-04-19 11:48:44.0
02F159B1-8154-4A20-B6A7-93013C3B1BBB,,Campground Reservation Window Changed for 2024,ozar,Reservable sites are now only available by reservation. Reservations must be made through recreation.gov (online or by calling). Visitors should not occupy these sites without a prior reservation.,Information,2024-04-19 11:37:22.0
DFBD4523-DC99-43F8-A8DF-C17F470F7498,https://www.nps.gov/bicy/learn/news/big-cypress-national-preserve-issues-temporary-area-closure-for-interceptor-prescribed-fire-april-21-2024.htm,Big Cypress National Preserve Issues Temporary Area Closure for Interceptor Prescribed Fire,bicy,"Big Cypress National Preserve has issued a temporary closure during prescribed fire activity beginning Sunday, April, 21, 2024. To learn more about what areas and activities the closure entails, click the link!",Park Closure,2024-04-19 11:23:21.0
7352199B-4275-42BF-BA40-AF4F972DE133,,Temporary Road Closure Thursday April 25th,gicl,NM 15 will be closed from the intersection of NM 15 and NM 35 to Pinos Altos from 7:30 am - 12:30 pm,Information,2024-04-19 11:17:55.0
074FD5EB-0414-4023-9246-F305A9E378E1,https://www.nps.gov/ozar/learn/news/pulltite-cabin-closed-for-urgent-repairs-following-storm-damage.htm,Closure of Pulltite Cabin: Effective 07/19/23 until further notice,ozar,"Around the Pulltite Cabin, a 100’ perimeter extending in all directions has been closed to the public. Closure of the area is deemed necessary as a large tree has fallen on the structure, causing damage.",Caution,2024-04-19 11:05:29.0
A470EC64-2664-41F6-81DA-3687870ACD17,https://www.nps.gov/yell/planyourvisit/parkroads.htm,Select Roads Open to Regular Vehicles,yell,"West Entrance to Old Faithful, Mammoth Hot Springs to Old Faithful, and Norris Junction to Canyon Village are open for the summer season. Additional park roads will open throughout May, weather permitting.",Information,2024-04-19 10:58:31.0
164C0C83-61C6-4485-9437-0C01892B5E97,,Volcano Road Closure April 22-April 25 May 8 May 15 or 16,cavo,"Volcano Road will be closed for construction April 22 through April 25, and short closures May 8, and May 15 or 16. The Visitor Center, Park Film, Museum, Boca and Lava Flow trails, and Bookstore will all be open.",Park Closure,2024-04-19 10:45:14.0
FE882F1E-6709-4757-80F9-79EBF842D144,https://www.cotrip.org/home,"US HWY 50 CLOSURE ALERT - as of April 18, 2024",blca,"Colorado Department of Transportation has closed US Highway 50 near Dillon Pinnacles, between Black Canyon NP and Curecanti NRA (mile marker 136 to 138), for emergency maintenance on the bridge. Check https://www.cotrip.org/home for updates.",Park Closure,2024-04-18 19:38:39.0
3CE2C6E6-AA94-4CC1-A155-B9E343D0F71B,https://maps.cotrip.org/,US 50 Emergency Closure,cure,"Colorado Department of Transportation has closed US 50 between County Road 26 and Elk Creek Road (18 to 20 miles west of Gunnison) from Mile Point 136 to Mile Point 138. Road closed expect delays due to road maintenance operations, no reopening date yet.",Park Closure,2024-04-18 18:18:35.0
6E13AD2C-7682-4D47-B576-CAA6A5C2E22A,,Delassus-Kern House and Grounds Closed,stge,"Due to hazardous conditions, the Delassus-Kern House and surrounding grounds are closed indefinitely.",Park Closure,2024-04-18 15:50:20.0
4ED3C2D4-940E-4491-8AEE-54599EF11D84,,Bauvais-Amoureux House and Grounds Closed,stge,The Bauvais-Amoureux House and grounds are currently closed for a roofing project.,Park Closure,2024-04-18 15:46:56.0
DDE47C2D-80F3-4D6E-80AB-6C5003243E71,,Seasonal Road Closures,grba,The Wheeler Peak Scenic Drive is closed for the season at mile three at the Upper Lehman Campground. Both the Snake Creek and Strawberry Creek Roads are closed for the season.,Park Closure,2024-04-18 15:17:09.0
3DD98D41-64CB-4A1F-A7C4-3D5E8612C599,,Historic Homes Closed for Winter Season,adam,The historic homes are closed for the winter season and unavailable for tours. The 2024 season begins May 1 and ends October 31. The Visitor Center is open 10am-4pm Monday-Friday.,Park Closure,2024-04-18 14:45:28.0
20FC5770-5BE7-4CE7-8A6A-B8AA0BDFF886,https://www.nps.gov/mora/planyourvisit/road-status.htm,"Paradise Road Status: Road open 24 hours, weather dependent.",mora,Regular nightly closure of the gate to Paradise at Longmire has ended for the season. The road can still close at any time due to weather/road conditions. All vehicles are still required to carry tire chains until May 1.,Park Closure,2024-04-18 14:34:07.0
E6760692-6606-4369-9BCB-342EAD4581BF,https://www.nps.gov/shen/visitor-impacts.htm,Facilities Openings Delayed,shen,"Due to extensive wind damage, power has not been restored to Elkwallow Wayside and Mathews Arm Campground. Openings are delayed.",Park Closure,2024-04-18 14:14:25.0
37881975-1406-4219-836E-DFE1A1BDF25E,https://www.nps.gov/shen/visitor-impacts.htm,Intermittent power outages at Big Meadows,shen,"Starting April 9, there will be intermittent power outages Mondays through Thursdays in the Big Meadows area for the next three weeks due to repairs. Outages will affect campground showers. The visitor center and wayside have generators.",Information,2024-04-18 14:13:08.0
EF29C1A2-1895-48FB-92AF-BED496960503,,Tree blocking trail/bridge along 24-Gun Battery Trail.,kemo,"A large tree has fallen and destroyed a bridge along the 24-Gun Battery Trail, west of Old Mountain Road. Crossing at this section would be dangerous and should be avoided.",Park Closure,2024-04-18 13:27:23.0
7D0EE120-76AD-4318-9403-F25D60642BE2,,Short-Term Parking Lot Closures,brca,"Spring cleaning parking lot closures will occur for 2 hours from 6 a.m. to 8 a.m. Monday, April 22: Visitor Center Tuesday, April 23: Sunrise Point Wednesday, April 24: Sunset Point Thursday, April 25: Bryce Point Monday, April 29: Inspiration Point",Information,2024-04-18 12:22:56.0
ADF1BF3E-BA07-4748-BAD9-A6E21B069824,,Road Construction Closures,lamr,Fritch Fortress is closed to the visiting public due to road construction. There is no public access.,Park Closure,2024-04-18 12:07:52.0
